) for {0},) cho {0},
A {0} exists between {1} and {2} (,{0} tồn tại trong khoảng từ {1} đến {2} (,
User Details,Thông tin người dùng,
Edit Filters,Chọn bộ lọc,
List View,Danh sách,
My Profile, Thông tin cá nhân,
My Settings, Cài đặt,
Dashboard, Bảng điều khiển,
Tags,Thẻ,
Attachments,Tệp đính kèm,
Assigned To,Người phụ trách,
Roles & Permissions,Vai trò & phân quyền,
Connections,Kết nối,
General Information,Thông tin chung,
Gender,Giới tính,
ID,Mã,
Customer,Khách hàng,
New Customer ,Tạo mới khách hàng,
Fullname,Họ và tên,
Social ID,CMND/CCCD,
Phone,Số điện thoại,
Home Phone,Điện thoại nhà,
Business Phone,Điện thoại công ty,
Street,Đường,
State,Tỉnh/Thành,
District,Quận/Huyện,
Ward,Phường/Xã,
Customer ID,Mã khách hàng,
Customer Name,Tên khách hàng,
The business phone number is not valid!,Số điện thoại doanh nghiệp không hợp lệ!,
The phone number is not valid!,Số điện thoại không hợp lệ!,
The mobile is not valid!,Số điện thoại không hợp lệ!,
You created this,Bạn vừa tạo thông tin này,
You last edited this,Bạn cập nhật thông tin này,
Type a reply / comment,Nhập phản hồi / bình luận,
Tools,Công cụ,
Build,Xây dựng,
Permission Manager,Quản lý phân quyền,
You changed the value of {0},Bạn đã thay đổi giá trị của {0},
{0} changed the value of {1},{0} đã thay đổi giá trị của {1},
You haven't created a {0} yet,Bạn chưa tạo bất kỳ dữ liệu của {0},
In effect,Đang hiệu lực,
Terminated,Chấm dứt,
Product,Sản phẩm,
Product Name,Tên sản phẩm,
Product Type,Loại,
Base plan,Chính,
Rider,Bổ trợ,
Face Amount,Tiền bảo hiểm,
Annual Premium,Phí bảo hiểm,
Product List,Danh sách sản phẩm,
Sale Order,Đơn bán hàng,
Pending,Chờ đợi,
Done,Hoàn thành,
Paid,Đã thanh toán,
Sales,Bán hàng,
Product Code,Sản phẩm,
No.,STT,
New Sale Order ,Tạo đơn hàng mới,
Contract,Hợp đồng,
Policy Owner,Bên mua bảo hiểm,
Monthly,Hàng tháng,
Quarterly,Hàng quý,
Half Yearly,Hàng nửa năm,
Yearly,Hàng năm,
Single period fee,Phí đơn kỳ,
Agree to receive the Insurance Contract through the PruOnline account.,Đồng ý nhận bộ Hợp đồng Bảo hiểm qua tài khoản PruOnline.,
Others,Khác,
Effective Date,Ngày hiệu lực,
Initial Issue Date,Ngày phát hành đầu,
Final Issue Date,Ngày phát hành cuối,
Effective Date (APL),Ngày đổi định kỳ (APL),
Date of Re-delivery of Paper Contract,Ngày giao lại bộ HĐ giấy,
Fee,Chi phí,
Next Premium Due Date,Ngày nộp phí tiếp theo,
Regular Premium,Phí bảo hiểm định kỳ,
Previous Period Surplus Premium,Phí dư kỳ trước,
Automatic Premium Payment,Tự động nộp phí - APL,
Automatic Premium Payment #2,Tự động nộp phí - APL #2,
Cash Advance - OPL,Tạm ứng tiền mặt - OPL,
New Contract ,Tạo hợp đồng mới,
Regular,Định kỳ,
Group Name,Tên nhóm sản phẩm,
Product Group,Nhóm sản phẩm,
Product Title,Tiêu đề sản phẩm,
